标题	年份	类型	国家	时长	评分	人数	概括	链接
玄奘大师	2009	纪录片	中国大陆	94	8.9	1159	　　对于绝大多数中国人来说，&quot;玄奘&quot;这个人名非常陌生，人们熟悉的是《西游记》中的那个唐僧。《西游记》是中国文学史上的经典，经典的力量是勿庸置疑的。自明代吴承恩创作《西游记》以来，一个阴柔懦弱、性别不明的唐僧形象已经深深地铭刻在中国人的心里。在人们津津乐道于孙悟空的时候，唐僧的原型，玄奘却被扭曲、被误读。几个世纪的时间里，真实的玄奘越走越远，逐渐离开了中国人的视线，只剩下一个轮廓模糊的背影。　　公元2005年的冬天，在北京平安大街一个普通的茶馆，时间已过半夜。昏暗的灯光下，几个已近中年的男人眉飞色舞，几近痴狂之状。城市白日的喧嚣已经过去，疲惫的人们正在进入梦乡，街道上游荡着三三两两几个无眠的人。在这样的时刻，世俗的欲望和压迫都逐渐消退，多年不曾光顾的激情开始在昏暗的茶馆弥漫。血色逐渐爬上一张张原本菜色的脸，白天的矜持和理智不见了，青春似乎又一次降临。　　茶馆夜...	http://movie.douban.com/subject/4122328/	
寻找他乡的故事	-9999	纪录片	香港	-9999	9.5	330	　　《寻找他乡的故事》是由香港亚视于香港回归祖国后斥巨资拍摄制作的人文主义高水准之作，是一部反映当代中国人在世界各地拼搏奋斗经历的40集大型纪录片，在香港播出时，好评如潮，曾获得当年最高欣赏指数电视节目冠军，以及壹周刊办的“壹电视十大电视节目大奖”。　　该系列片题材新鲜感人，以四散在世界各地华人故事为内容，既缅怀早年华侨投身异乡的凄苦，也追访了新一代华人移民到偏远他乡的目标和心态。同时透过节目的画面，又介绍了当地的景物风光、社会近况，不是旅游特辑，胜似旅游特辑的电视节目，使人耳目一新。本节目由金庸题字，钟景辉、游继彪旁白，喜多郎配乐。日本音乐大师喜多郎用合成电子技术和对生命的深思汇集合成悠远宁静而又略带乡愁般忧伤的曲风更为节目增色不少。　　《寻找他乡的故事》作为亚视记录片巨献，是每一个中国人都不容错过的。摄制组走访南北半球每个角落，揭开中国人在异乡挣扎求生，...	http://movie.douban.com/subject/4322725/	
60年代的伯克利 Berkeley in the &#39;60s	1990	纪录片/音乐/历史	美国	117	8.8	125	　　Berkeley in the Sixties is an award-winning documentary film by Mark Kitchell. The film features Mario Savio, Todd Gitlin, Joan Baez, the Rev. Dr. Martin Luther King Jr., Huey Newton, Allen Ginsberg, Gov. Ronald Reagan and the Grateful Dead. The documentary highlights the origins of the Free Speech Movement and the development of the counterculture of the 1960s in Berkeley, Cal...	http://movie.douban.com/subject/1302896/	
米开朗基罗 The Divine Michelangelo	-9999		英国	-9999	8.7	315	　　透过史实数据和重新演绎创作技法揭开米开朗基罗不凡一生和艺术瑰宝，揭开艺术奇才的神秘面纱。五百年前，米开朗基罗创造出世上三大艺术极品：戴维像，梵蒂冈西斯汀教堂的天花板壁画，与罗马圣彼得大教堂圆顶。节目中将追随他的成长过程，看他如何从愤怒少年转化成罗马的光荣。他绝顶的才艺深受世人的景仰和推崇，现代专家于是重新演绎当年绘画西斯汀教堂的技法，甚至在仿照米开朗基罗设计的脚手架上工作。一位雕刻家使用传统工具，从当初戴维像采用的矿石场取得一块大理石，重新雕出戴维的头像。然而这些专家的技术与投入，足以完成这些艰难的工作吗？他们是不是少了一个重要的特质：天份？米开朗基罗的私生活也将受到检验，到底是否如传言所说般的风波不断呢？节目从他的信件与诗词，重新拼凑出其一生中最关键的时期，让大家深入了解米开朗基罗复杂人格的固执与才华。我们将发现这位伟大的艺术家也是一位公关天才，他...	http://movie.douban.com/subject/1441903/	
算命	2009	纪录片	中国大陆	157	8.8	4709	　　历百程孤独半生，40多岁的时候碰到石珍珠——她因为残障，在老家倍受虐待，两人从此开始一起生活；　　他们住在北方某个城乡结合地带，历百程以替人算命维生。来找他算命的主顾常常是妓女，她们都各怀心事；　　因为冬天太冷，又碰上扫黄打非，老两口回到老家青龙。在那里，他们去过石珍珠的娘家，又回到历百程的老宅。　　春天的时候，他们重新上路，赶赴庙会，等待时来运转……　　以长卷的篇幅，中国传统小说章回体的形式，《算命》的场景随人物转徙，在不同的地域空间提供的社会背景中，让人看到小人物微不足道，颠沛流离的人生以及其中的人情世故。　　在这个过程中，它试图洞彻人性。《算命》对残障和社会边缘人物的呈现，从不同角度，但象《麦收》一样，充满了道德挑战的味道。　　=============================================　　影片概述 . . . . . .　　第一...	http://movie.douban.com/subject/4073872/	
阿沃·帕特：24个序幕 Arvo Pärt 24 prelüüdi ühele fuugale	2002	纪录片	爱沙尼亚	90	8.5	58	　　靜寂之中的細微聲音，通常最能引人深思。有人說，這是以聲音來接近心靈最好的方式，這句話雖然沒錯，但是在現代社會裡無比喧囂擾嚷的環境，我們有多少機會能夠傾聽靜寂？連靜寂都難求，就別說要領略靜寂之中的樂音了。Avro Part的作品，卻提供給我們這樣的機會，讓人重新在寧靜裡尋回自己、檢視自己，在那簡單樸素的合唱樂音之中，洋溢著崇高而精妙的氣氛，帶給聽者淡淡的感動。　　Avro Part的作品，確實一直都有這種特色。身為現代作曲家的他，作品並不像史托克豪森那般令人難以理解，而是在精簡之中尋求音樂的最大可能性。1935年生於愛沙尼亞的Part，可稱為愛沙尼亞歷史上最有名的一位作曲家，在Tallinn音樂學院追隨Heino Eller教授學習作曲，未滿廿歲時便已嶄露頭角，逐漸受到樂壇矚目。最初，他在Tallin廣播電台擔任廣播錄音經理人，而自七○年代之後名聲更是...	http://movie.douban.com/subject/1467419/	
尘封核爆 Trinity and Beyond	1995	纪录片/历史	美国	92	8.4	1042	　　核试验科教记录片。是自人类发明原子弹、氢弹以来的各种核爆炸记录，采访了许多美国参与核试验的专家，非常珍贵的第一手资料。著名的“小男孩”（广岛）和“胖男人”（长崎）就在这里，不可不看！　　On July 16, 1945, at a site called Trinity, a plutonium bomb was assembled and brought to the top of a tower. The bomb was detonated, producing an intense flash and a fireball that expanded to 600 meters in two seconds. The explosive power was equivalent to 18.6 kilotons of TNT. It grew ...	http://movie.douban.com/subject/1864318/	
人类星球 Human Planet	2011	纪录片	英国	-9999	9.8	6463	　　BBC8集大型电视系列片 - Human Planet （人类星球），探讨人与自然的关系。8集节目分别探讨极地、山区、海洋、丛林、草原、河流、沙漠和城市的人类活动。世界一流的自然与人类专家以及摄影师，从空中、陆地和水下抓拍珍贵镜头。BBC摄制组前往世界80个地方，抓拍了从未在电视屏幕上出现过的罕见精彩的人类活动。	http://movie.douban.com/subject/5950117/	
河狸白毛历险记 Mèche Blanche, les aventures du petit castor	2008			-9999	-9999	-9999		http://movie.douban.com/subject/3008143/	
天生狂野 Born to Be Wild	2011	纪录片	美国	40	8.6	1303	　　《天生狂野》讲述的是发生在人类救助人员和成为孤儿的野生动物之间的故事。　　一些动物在出生之后，因为各种各样的原因成为了孤儿，在大自然中孤苦无助的它们很容易死亡。这个时候，一些善良的人们充当起了“救世主”的角色，自然保护小组、野生动物救护组织和一些环保人士自愿自觉地开始了拯救野生动物孤儿的活动。　　在《天生狂野》中，观众能看到刚出生不久的大象和猩猩在救护站里得到了人类无微不至的照料并且最终重返自然的过程。也能看到世界著名的灵长类动物学家比卢特·葛莱迪卡斯为保护猩猩种群而做出的努力和奋斗。　　幕后制作　　17年前的夙愿　　17年前，本片的编剧兼制片人德鲁·菲尔曼来到了东南亚旅游，他访问了婆罗洲，拜访了知名的动物学家比卢特·葛莱迪卡斯。回来之后，他的脑子里就盘旋着一个念头，要把葛莱迪卡斯的故事用IMAX格式拍成电影。虽然IMAX诞生于1970年代，不过，直到菲尔曼萌...	http://movie.douban.com/subject/4911247/	
山地自行车之旅 Life Cycles	2010	纪录片/运动	加拿大	47	8.9	4497	　　由加拿大山地自行车摄影师Derek Frankowski和电影人Ryan Gibb联手执导拍摄的纪录片《山地自行车之旅》，讲述着关于山地自行车及其文化的精彩故事，将为您奉上一部令人叹为观止的视觉饕餮盛宴。　　Derek Frankowski与Ryan Gibb耗时三年时间，行走在壮阔的山间原野，利用春夏秋冬的XC路线越野骑行、稻田里BMX骑行、公路之旅等极为震撼的视觉之旅，展现着在自然环境中骑行与众不同的强大吸引力。本片使用4K超高画质摄像机进行拍摄，记录了山地车从创建到消逝的全过程，用充满张力的镜头捕捉着山地自行车独特魅力。众多世界顶级自行车运动选手也参与了本片的拍摄。	http://movie.douban.com/subject/5981293/	
克努特和它的朋友们 Knut und seine Freunde	2008	纪录片	德国	89	8.9	1337	　　德国纪录片　　Runtime:89 min　　Release Date:6 March 2008 (Germany)	http://movie.douban.com/subject/3002542/	
最狂野的梦想：征服珠峰 The Wildest Dream	2010	传记	美国	94	8.7	1375	　　“In 1999, renowned American mountaineer Conrad Anker made a discovery that reverberated around the globe. High in Mount Everests death zone, he found the body of George Mallory75 years after the British explorer mysteriously vanished during his attempt to become the first man to summit the worlds tallest peak.　　Mallory had risked everything as he set out, dressed in gabardine an...	http://movie.douban.com/subject/4036518/	
志同志 誌同志	2009	纪录片/同性	中国	119	8.1	1972	　　同性恋，这一古老而禁忌的话题，尤其建国一来曾引起无数争论与波澜。它曾被定性为流氓罪的一种，触犯者轻则遭受周围人的白眼、利益权益受到剥夺和侵犯，重则刑法加身，甚至丧失性命。它也曾被认为是精神病的一种，因此使诸多所谓的患者遭受肉体和精神上的巨大折磨。如今，随着改革开放的推进，同性恋及同志们渐渐走出时代的阴霾，开始享有自由追寻真爱和爱人的权利。虽然路仍坎坷，但是前途充满希望。本片采取记录的手法，见证了改革开放以来中国同性恋群体的面貌……　　本片受访者包括张北川、秦士德、李银河、郭晓飞、童戈、程青松、乔乔、许戈辉、张元等知名人士。	http://movie.douban.com/subject/3619027/	
时代精神3：迈步向前 Zeitgeist: Moving Forward	2011	纪录片	美国	161	8.6	965	　　理论一：中性社会政治或者叫做现代社会政治是研究自我与他人之间的利益共同点与相异点，从而形成的利他或利己的主观观点，进而由此观点划分利益团体，自反组成阶级社会。　　理论二：良性社会政治或者叫未来社会政治的终极意义是研究人与人,人与世界之间的共性和独立性，基于此状况而产生的利 于个体独立的，所有人的良性社会【(物质前提:自动化与循环资源经济的建立)良性社会是有一群不固定的志愿者组成的推动人类科学发展的公益社会，并不强迫他人加入社会劳动而是鼓励将个人劳动的成果与社会分享。其他不固定的不参与者也可以从中得到发展成果。】　　理论三：科学影响人类这个生物群体，而社会政治影响生命个体。【长期来看，是说自然科学对于我们的整个社会科学产生了缓慢而巨大的影响。正如马克思所说：生产关系生产关系决定分配原则，生产关系上的变动总是因为起到最终作用自然科学的发展速所引起的。而现代社...	http://movie.douban.com/subject/5959251/	
监守自盗 Inside Job	2010	纪录片/犯罪	美国	120	8.7	20025	　　2008年，全球金融海啸，多国陷入金融危机，损失高达20万亿美元，数以百万计人加入失业大军，甚至丧失家园……本片通过详尽的资料搜集，追访全球金融业界猛人、政客、财经记者，披露金融大鳄的崛兴之路，公开业内和学界贪污腐败的政策背后的惊人真相。	http://movie.douban.com/subject/4843480/	
画廊外的天赋 Exit Through the Gift Shop	2010	纪录片	美国 / 英国	87	8.5	3438	　　与妻儿住在纽约的法国移民泰瑞·库塔（泰瑞·库塔 Thierry Guetta 饰），经营着一家古着店。他有一个奇怪而疯狂的爱好，就是拿着摄像机到处随意拍摄。他的表弟是一名涂鸦艺术家，一次跟拍期间，泰瑞深深地被街头艺术所吸引，他开始走访各地的街头艺术家，并拍摄他们在深夜涂鸦的过程，但这其中却有一位大人物总是苦寻不得，那就是英国最著名也最神秘的涂鸦大师——班克斯（班克斯 Banksy 饰）。然而一个偶然的机会，泰瑞得知班克斯将要到美国举办画展，他便借此机会担当其在美国的向导，并在一次一次的考验中渐渐获得了班克斯的信任，在此过程中，班克斯似乎为他打开了一扇充满可能性的奇幻的涂鸦之门，泰瑞甚至荒废了正常工作而专心投入到涂鸦艺术中，他的整个人生轨迹也跟着发生了转折……　　本片曾获2011年第83届奥斯卡最佳纪录片提名，同时也是班克斯的首部个人纪录片，他还以自己的...	http://movie.douban.com/subject/4319017/	
垃圾场 Waste Land	2010	纪录片	巴西 / 英国	99	8.9	310	　　这部影片拍摄了在巴西里约热内卢周围郊区的一圈巨大的垃圾场，在这个堪称是世界上最大垃圾场上，每天都要倾倒7000吨各种废弃物。那里的居民在其中以翻找可以利用的瓶瓶罐罐，塑料和金属等物资为业，然后卖给回收商人，赚取生活费用。垃圾工人塞巴斯蒂昂从11岁开始，就帮助家里捡拾和收集，已经干了20多年了。　　而来自纽约的艺术家威克·穆尼兹专程进驻这里，以那里的拾荒者为主题，希望找到自己的绘画创作灵感。穆尼兹选中了垃圾工人塞巴斯蒂昂当他的模特儿，精心地制作一幅拾荒者在一个被丢弃的洗澡浴缸休息的绘画作品。该画作以真正的拾荒者为主体，以垃圾场为背景，是从来没有人尝试过的题材。两位同根同源，却又地位悬殊的人物，通过画作相互了解和探索对方，而且在工作中表现了极大的耐心和热情，使得影片感人至深。影片还记录了在该画作完成后，32岁的塞巴斯蒂昂随穆尼兹远赴伦敦，亲自参加画作拍卖。...	http://movie.douban.com/subject/3166593/	
阳光宝贝 Bébé(s)	2010	纪录片	法国	79	8.8	2824	　　本片记录了4个国家4名婴儿从出生到一岁多学会走路之间的成长过程。这四名婴儿分别是非洲纳米比亚奥普沃的厐倪骄（Ponijao）、日本东京的玛丽（Mari）、蒙古巴彦钱德曼的贝雅（Bayar），和美国旧金山的海蒂（Hattie）。影片采取了纯观察的记录方式，完全没有字幕或解说，刻画了非洲部落中的厐倪骄与蒙古包中贝雅的相对原始、亲近大自然的成长环境，以及玛丽与海蒂身处发达国家，居住环境优渥、物质极大丰富的生活方式。但影片并未对这些不同的国家与生活环境做出任何价值判断，而是将重心完全放在了四位婴儿的成长过程之上。他们各有各的可爱，令观感趣味十足。	http://movie.douban.com/subject/3268358/	
资本主义：一个爱情故事 Capitalism: A Love Story	2009	纪录片	美国	127	8.3	8147	　　按照资本主义的理想化定义，在该社会体制下生活的人民可以自由自在的选择工作，并获得相应的报酬。但现实究竟如何？2008年金融风暴席卷全球之际，美国的土地上无数人因为丧失赎回权而被银行赶出家园；有的商人则与司法系统勾结兴建感化院，通过监禁犯错的少年大殓其财；还有的企业偷偷为员工投保，并待其死后赚其巨额赔偿金；而当成千上万的工人失业之际，华尔街的银行则向政府请求高达7000亿美元的救济金，这笔钱的最终走向却无人得知。纪录片导演迈克·摩尔（Michael Moore）再次拿起摄像机，试图揭穿政客和商人剥削民众、暴敛钱财的真实嘴脸……　　本片荣获2009年威尼斯电影节小金狮奖。	http://movie.douban.com/subject/3073198/	
席琳·狄翁：全世界的目光 Celine: Through the Eyes of the World	2010	纪录片/音乐	美国	174	8.9	2086	　　索尼推出的一部关于席琳迪翁(Celine Dion)全球巡回演唱会的同类型纪录片《席琳：透过世界的眼睛》(Through the Eyes of the World)。	http://movie.douban.com/subject/4225354/	
待业青年	2010	纪录片	中国大陆	180	8.3	22276	　　大学生小吉（郭雪萌 饰）有着不安份的内心，面临毕业的他做出一个惊人决定——退学。因为他厌倦了学校的种种不合常理的现象。在几年的大学生涯里，他对周围的人和事甚至对自己的人生都产生了怀疑，人究竟为什么活着？这个问题始终困扰着他。他感觉每个人都生活在一个早就被制定的牢笼里，人人都缺乏独立的人格和尊严，生活的轨迹是社会和父母早就规划好的，那么我们来到这个世界上到底是为什么。思虑良久，他决定要用一年时间探讨下一步的人生之路。他拿起了DV，走向浩淼的大千社会，去观察记录周围人们的生活状态，重新思考青春的含义......	http://movie.douban.com/subject/4300525/	
摇滚吧比利利 Benda Bilili!	2010	纪录片/音乐	法国 / 刚果民主共和国	85	8.5	24	　　2009年夏天，在扎伊尔共和国的首都和最大河港，也是中部非洲的最大城市金沙萨，5位截瘫患者和一个健全的年轻人组建了一只乐队 &quot;Benda Bilili&quot;，随着乐队在国际上有了知名度，他们还有英文名 &quot;See Beyond&quot;，这些无家可归、挣扎在生存边缘的残疾人执着的追求着自己的音乐梦想。因此这部电影不仅仅是一部音乐片，而是关于梦想如何被实现的影片，带领观众来到金沙萨的街头，享受原汁原味的民间音乐。　　《摇滚吧！比利利》将让观者再次认识自以为熟悉的世界。刚果首都金沙萨的贫民街头英雄，骑着特制三轮车，哼着从生活汲取的动人歌谣，构筑着远大的音乐希望。身体的残疾无碍于傲人的才情，天才小鬼甚至能自制乐器，谁说学音乐是贵族才有的权力？他们神奇的演出已经震动欧陆，搬上银幕要教你大开耳界。	http://movie.douban.com/subject/4811757/	
霍洛维茨在莫斯科 Horowitz in Moscow	1986	纪录片	USA	-9999	9.6	456	　　A recording of Horowitz's historic recital in Moscow, the program also includes highlights of his return to his native Soviet Union--his first visit in 61 years.	http://movie.douban.com/subject/1417215/	
8号提案 8: The Mormon Proposition	2010	纪录片/同性	美国		8.8	1107	　　影片讲述的是美国禁止同性婚姻的8号提案。在2009年，数千名同志被剥夺了公民的民事权利。于是摩门教开始了全国性的组织活动，并带头融资和带头作用，努力制止超过三十年的婚姻平等地位。　　导演Reed Cowan一开始只是想拍一部关于犹他州年轻同志的纪录片，这些年轻人有许多是无家可归，当中更不乏有人选择自杀一途，但导演很快就发现让慈爱的父母变得「恐同」的原因，竟是摩门教教义使然，本片将纪录这些同志们如何起身抵抗「八号提案」，若是摩门教会在加州提出的八号提案通过，那么同志人权将遭遇前所未有的压制，更将丧失决定自己人生的权力。	http://movie.douban.com/subject/4766100/	
牧野村千年物语 1000年刻みの日時計 牧野村物語	1987	剧情/纪录片	日本	220	9.2	70	　　用13年时间完成的小川摄制组的代表作。用如此复杂的形式描写历史的电影，在世界电影史上也绝无仅有。这部电影通过牧野村世代传承的口头文学、舞蹈和虚构的的形式再现历史。在这部电影中，村民们和那些著名的演员们一起，扮演自己的先祖。电影制作者们试图从稻田的考古挖掘现场中，触摸牧野村远古的历史。这部作品之所以给人冷峻的印象，让我们对传统的村落生活以及精神性神话感到幻灭，是因为它成功地使用了科学的手段。用显微镜拍摄的稻子开花的镜头，唤起我们对生命的敬畏。而大学教授突然从灌木丛中走出，推测故事的起源的那一段，实际上是对牧野村千年历史的真实性进行确认。在这部由极为复杂的时空关系构筑的作品中镌刻的，是收获的季节的韵律，是太阳在山形的天空中划出的弧光。	http://movie.douban.com/subject/2268963/	
破铜烂铁演唱会 Stomp Live	2009	歌舞	美国		9.1	199	　　Stomp 是一个音乐舞蹈演出团体。他们利用生活中最常见和最不起眼的工具，构思了一系列趣味横生、即兴狂想的前卫音乐和舞蹈。超乎寻常的想象结合震撼跳跃的打击乐，表现了日常活动从切菜打牌到运动打斗的艺术化景象。他们从欧洲的街头表演团体成为世界的前卫乐团，8名成员巡回42个国家进行激情演出。这是他们的表演首次制作成音像制品，同时发行了DVD和蓝光碟，收录了140分钟的演出。影片为1080p的画质，其余发行信息尚未公布。　　破铜烂铁STOMP十年有成再次出击带给你最震撼的现场LIVE秀!!　　新剧目 再掀狂潮 最颠覆的听觉震撼 最前卫的视觉体验　　欢迎来到废弃工厂，舞台上布满了破铜烂铁、废弃轮钢圈，一场感官盛宴的华丽冒险随着节奏展开，这一次要彻底颠覆传统音乐思维。利用扫把、报纸、塑料袋、水 桶、洗碗槽、小刀、等更多料想不到的日常用品，搭配强烈节奏化腐朽为神奇，透过...	http://movie.douban.com/subject/3889838/	
地球造人 How Earth Made Us	2010	纪录片	英国	-9999	9.1	717	　　BBC最新纪录片，讲述地球的力量如何改变了人类的历史。2010年1月19日首播，共播出了5集：'Water'，'Deep Earth', 'Wind', 'Fire'，'Human Planet'。节目中，Iain Stewart教授带领观众探究几个世纪以来，地质学、地理学和气候是如何影响人类生活的。　　我们的星球拥有惊人的力量，但却很少在教科书中被提起。这个系列节目第一次通过电视展现地球的神奇力量对人类发展的影响。节目将历史故事的讲述和炫目的摄影镜头紧密结合，给我们呈现一幅原汁原味的人类历史图景。　　Iain Stewart tells the epic story of how the planet has shaped our history. With　　spectacular images, surprising stories and a co...	http://movie.douban.com/subject/4311404/	
发现少校	2009	纪录片	中国大陆	-9999	9.4	330	　　这是抗日战争中最荣耀却鲜为提及的历史节点。　　•这是一位世纪老人尘封了六十多年的血泪记忆。　　•这是一对美国父子对中国魂牵梦绕的情怀。　　•这是中美两国战士铁血铸就友谊的证明。　　南京，对于这座城市在抗日战争中的记忆，最通常的联想是南京大屠杀。但是我们却遗忘了反法西斯战争中，中国人最荣耀的时刻，1945年9月9日，日本投降的受降仪式就发生在南京。时过境迁，除了照片和文字档案，还有多少真实的历史见证？还有健在亲历者吗？　　导 演 简 历：　　龙淼渊：2006-2009 独立纪录片导演，香港，中国　　2009：导演，越众影视，深圳，中国　　沈晓闽：2006-2009 纪录片导演，中央电视台，中国	http://movie.douban.com/subject/4195641/	
我们都为比尔着盛装 Bill Cunningham New York	2010	纪录片/传记	美国 / 法国	84	9.1	4566	　　这是一部关于街拍鼻祖比尔·坎宁安（Bill Cunningham）的纪录片。已入耄耋之年的比尔依然是纽约时报的一名摄影师，拥有自己的板面专栏“On the Street”以及“Evening Hours”。他从六十年代起便一直沉迷街拍，并享受工作。在比尔的镜头下，不管你是上流名人、普通工人甚至是下城居民，只要你着装出位有个性，比尔都乐于捕捉你的美。几乎所有的时尚界人士都认识并尊重这位摄影顽童，就连著名时尚杂志Vogue的女主编安娜·温图尔（Anna Wintour）也说：“我们都为比尔着盛装。”然而，这样一位几乎把一生都献给了时尚且功不可没的老人，依然住在狭小工作室里，每天骑着自行车上街拍照，不过老人家却觉得这样最好，对他来说，拍照以外的任何事都无关紧要，能够自由地捕捉新鲜，才是他的追求。　　本片推出后深受欢迎，先后在悉尼电影节、南塔基特电影节、墨尔本...	http://movie.douban.com/subject/4836985/	
孟山都公司眼中的世界 Le monde selon Monsanto	2008	纪录片	法国 / 加拿大 / 德国	-9999	8.7	1631	　　这部新纪录片对美国孟山都公司的名誉发起了另一轮剧烈冲击。美国孟山都公司是全球最大的化工公司之一，也是全球90%转基因作物的种子技术的提供者。这部名为“孟山都公司眼中的世界”的法国纪录片由独立导演Marie-Monique Robin执导，影片为观众展现出一家长期危害环境 、制造卫生健康丑闻的公司的可怕嘴脸。	http://movie.douban.com/subject/3163541/	
哈利·波特系列的50个精彩瞬间 50 Greatest Harry Potter Moments	2011	纪录片	英国	93	9.1	22816	　　2011年的夏天，《哈利·波特与死亡圣器（下）》在全球上演，这盛大的历史时刻同时宣布了长达10年的哈利·波特电影系列的终结。从此一个时代一去不复返，留在人们心间的确实久久无法忘怀的复杂回忆。在终结篇上映两周后，英国ITV电视台推出了纪录片《哈利·波特经典50幕》，遴选了该系列（前7部电影）50个最为精彩、令人难忘的场景，其中包括飞行汽车、列车上的摄魂怪、猫头鹰送信、三兄弟传说、波特的初吻等镜头，更有J·K·罗琳、丹尼尔·雷德克里夫、艾玛·沃森、鲁伯特·格林特、詹森·艾萨克等小说和电影的主创人员讲述影片拍摄背后的故事。　　这便是哈利·波特——那个陪伴许多孩子一起长大的男孩——送给影迷最后的礼物。	http://movie.douban.com/subject/6758119/	
冰冻星球 Frozen Planet	2011	纪录片	英国	-9999	9.8	5446	　　英国BBC电视台耗时5年制作的纪录片《冰冻地球》于近期推出。这部耗资巨大的纪录片用镜头真实的展现了正在逐渐溶解的地球两极，以及生活在这里的各种生物，片中种种景象让人叹为观止。　　纪录片的解说员大卫·艾登堡（David Attenborough）爵士称，这可能是人类在地球气 候产生剧烈变化前欣赏到这一景象的最后的机会了。现年85岁的艾登堡爵士说，“这部纪录片捕捉了此前从未记录下来的很多行为和现象。随着时间的流逝，这些影像将会变得越来越珍贵，因为这很可能是我们最后的机会去记录下这些珍贵的场景。虽然在我们到达前的数百年甚至几千年前，地球两极的景象非常壮观，但是最近一个世纪以来，很多变化已经超过了人们的认识。”　　《冰冻地球》的摄制组采用了可以在低温下工作的特殊摄影机进行拍摄。这部耗时5年才问世的纪录片捕捉了很多珍贵的画面，表现出大自然神秘奇幻的一面：包括冰山崩...	http://movie.douban.com/subject/6886533/	
乔治哈里森：生活于物质世界 George Harrison: Living in the Material World	2011	纪录片	美国	208	9.1	413	　　大导演马丁·西科塞斯在制作鲍勃·迪伦、滚石乐队的纪录片之后，他将目光转向了乔治·哈里逊，这位一直被约翰·列侬光芒掩盖的披头士的吉他手。本片片长达3个半小时，采访了Eric Clapton、特里·吉列姆、Eric Idle, George Martin, 保罗·麦卡特尼, 小野洋子、林格·斯塔尔等诸多牛人，挖掘了哈里逊的人生与职业生涯，包括后来单飞，做电影制片、搞慈善等等。	http://movie.douban.com/subject/2997114/	
月亮熊	2012	纪录片	中国大陆	46	9.2	972	　　纪录片《月亮熊》精简版高清首发 ：<a href="http://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzU1ODQ4OTUy.html" target="_blank" rel="nofollow">http://v.youku.com/v<wbr>_show/id_XMzU1ODQ4OT</wbr><wbr>Uy.html</wbr></a>　　该片由三位热心动物福利事业的人熊君慧、涂俏和陈远忠担任导演，自己筹集经济来源，自己冒着危险深入现场，耗时四年拍摄制作完成的纪实片，这不是娱乐消遣的电影电视作品。拍摄拍摄地涉及中国大陆11个省份，包含黑龙江省、吉林省、辽宁省、四川省、陕西省、浙江省、福建省、广东省、广西省 、云南省、贵州省。在拍摄过程中，由于中华人民共和国政府林业部和公安部以及养殖主的警觉，他们遭受到百般阻挠，不得不假扮夫妻、游客、商人，冒着生命危险来披露黑熊养殖业和活熊取胆的事实真相。	http://movie.douban.com/subject/10529404/	
大唐西游记	2007	纪录片	中国大陆	-9999	8.9	1162	　　公元627年初秋，27岁的僧人玄藏混在一帮逃难的灾民之中离开了家乡，独自闯进危机四伏的戈壁，为了躲避守城官兵的检查，他在沙漠中迷路了，历经九死一生，终于走出了戈壁。在吐鲁番，西域国王盛情接待了玄藏，并希望他留下做自己的御师，但玄藏仍然选择了离开。在继续西行的路上，他身后不乏越来越多的追随信众，但由于自然界异常的严酷和艰险，最后只剩下两个弟子与他侥幸存活下来。玄藏怀着无限的虔诚，游历108个国家，终于来到了印度——这个佛教徒心中的圣殿。就这样，早在1300多年前，玄藏就徒步丈量了后来的丝绸之路......	http://movie.douban.com/subject/2171083/	
我心不老 Young@Heart	2007	纪录片/音乐	英国		9.2	1047	　　本片是关于老年合唱团&quot;Young@Heart&quot;的纪录片，&quot;Young@Heart&quot; 成立于1982年，成员多是年过半百的老人，其早期成员大多经历过战争创伤，二十多年来，这群老人从来没有停歇过，创作了大量的舞台剧和音乐剧，并翻唱了多乐队的歌曲，包括Jimi Hendrix，Coldplay和Sonic Youth等，他们的精神正在感动越来越多的人……	http://movie.douban.com/subject/3034034/	
起点 First Position	2011	纪录片	美国	95	8.9	1231	　　影片以美国著名芭蕾舞比赛（Youth America Grand Prix）为背景，讲述了六个6-19岁的孩子，在学习芭蕾的过程中，学会坚持，学会哪怕经历伤痛、沮丧也依然面带微笑的坚强背后，是如何为自己的理想奋斗的。	http://movie.douban.com/subject/6780868/	
寿司之神 二郎は鮨の夢を見る	2011	纪录片	美国	-9999	8.8	46849	　　《寿司之神》是由大卫·贾柏拍摄的一部关于寿司的纪录片。他是一个道道地地的纽约客！从小热爱寿司的他被小野二郎的职人精神而感动，干脆扛着摄影机至日本拍摄。　　现年86岁的小野二郎是全球最年长的三星大厨，被称为“寿司之神”。在日本地位崇高，“寿司第一人”的美誉更远播全世界。终其一生，他都在握寿司，永远以最高标准要求自己跟学徒，观察客人的用餐状况微调寿司，确保客人享受到究极美味，甚至为了保护创造寿司的双手，不工作时永远带着手套，连睡觉也不懈怠。　　他的寿司店“数寄屋桥次郎”远近驰名，从食材、制作到入口瞬间，每个步骤都经过縝密计算。这间隐身东京办公大楼地下室的小店面，曾连续两年荣获美食圣经《米其林指南》三颗星最高评鉴。被誉为值得花一辈子排队等待的美味。	http://movie.douban.com/subject/6146955/	
